,text,served_dish,spatial_relation,city,timeRange,country,restaurant_type,restaurant_name,sort,cuisine,party_size_description,facility,poi,state,party_size_number
1559,I want to book a spot at the local food court,,,,,,food court,,,,,,,,
1560,Locate a cafeteria for two that serves deviled crab,deviled crab,,,,,cafeteria,,,,,,,,two
1561,Book a food court in Raytown  Arizona that serves green bean casserole on july 20th .,green bean casserole,,Raytown,july 20th,,food court,,,,,,,Arizona,
1562,Book me seats for 6 at a restaurant in WV  in one second,,,,in one second,,restaurant,,,,,,,WV,6
1563,"Please book me a table for 6 people at Top of the Mark in Raleigh Hills , Kentucky",,,Raleigh Hills,,,,Top of the Mark,,,,,,Kentucky,6
1564,Book me a pub  nine weeks from now for 4 people.,,,,nine weeks from now,,pub,,,,,,,,4
1565,book a restaurant in Macedonia for 13 hours from now,,,,13 hours from now,Macedonia,restaurant,,,,,,,,
1566,Book a restaurant with internet in NY for four people.,,,,,,restaurant,,,,,internet,,NY,four
1567,"book a spot for wilma, gay and I At The Gowanus Yacht Club in Montenegro",,,,,Montenegro,,The Gowanus Yacht Club,,,"wilma, gay and I",,,,
1568,"therese, clara and I want to go to the Tennessee Ridge",,,Tennessee Ridge,,,,,,,"therese, clara and I",,,,
1569,"book a gastropub that serves pansette in Skaneateles , Pennsylvania",pansette,,Skaneateles,,,gastropub,,,,,,,Pennsylvania,
1570,Book me a table at The Goof for a party of eight in the state of NV,,,,,,,The Goof,,,,,,NV,eight
1571,Book me a restaurant in Henlopen Acres for a party of two .,,,Henlopen Acres,,,restaurant,,,,,,,,two
1572,book a table in the United States for 10 at The Berghoff,,,,,United States,,The Berghoff,,,,,,,10
1573,Book a restaurant at Tennessee,,,,,,restaurant,,,,,,,Tennessee,
1574,I would like to book a donut serving delicatessen in Cuba for 5 on april eleventh,donut,,,april eleventh,Cuba,delicatessen,,,,,,,,5
1575,Book a restaurant in Palestine for 8 people at 9 AM,,,,9 AM,Palestine,restaurant,,,,,,,,8
1576,"Book a table at the Eighth Step Coffee House that isn't too far from Vineyard Haven for candace phillips, debbie and sondra",,far,Vineyard Haven,,,,Eighth Step Coffee House,,,"candace phillips, debbie and sondra",,,,
1577,reserve a table at Bear Hotel  around  Finsbury Park,,around,,,,,Bear Hotel,,,,,Finsbury Park,,
1578,book australian food in Armour for 7 pm for four at a pub  best rated in UT,,,Armour,7 pm,,pub,,best rated,australian,,,,UT,four
1579,Get me a table for 2 people 1 second from now in Tunisia .,,,,1 second from now,Tunisia,,,,,,,,,2
1580,"I need to book a table at Bridge Round House in South Dakota for me, emily and gena",,,,,,,Bridge Round House,,,"me, emily and gena",,,South Dakota,
1581,book a brasserie for 3,,,,,,brasserie,,,,,,,,3
1582,I'd like to go to a cuban  restaurant in Horatio and get a table for 1,,,Horatio,,,restaurant,,,cuban,,,,,1
1583,Book a restaurant for 9 people.,,,,,,restaurant,,,,,,,,9
1584,Reserve me a table for 10 at a MT  cafe for breakfast .,,,,breakfast,,,cafe,,,,,,MT,10
1585,"Make a reservation in a popular  sicilian  bar place nearby , for me only, tomorrow",,nearby,,tomorrow,,bar,,popular,sicilian,,,,,
1586,Book a restaurant for a party of 7 in Paraguay on Saturday,,,,Saturday,Paraguay,restaurant,,,,,,,,7
1587,I need to book a table at a nearby  restaurant,,nearby,,,,restaurant,,,,,,,,
1588,I want to make a reservation at the Conflict Kitchen for one ,,,,,,,Conflict Kitchen,,,,,,,one
1589,"Book a table at Central Grocery on Mar. 22nd, 2020",,,,"Mar. 22nd, 2020",,,Central Grocery,,,,,,,
1590,I'd like to book a place to eat in NY .,,,,,,,,,,,,,NY,
1591,Book a restaurant with pool facility at East Gillespie,,,East Gillespie,,,restaurant,,,,,pool,,,
1592,"Book a reservation for 7 people at The French Laundry on june the 8th, 2029",,,,"june the 8th, 2029",,,The French Laundry,,,,,,,7
1593,Book a brasserie in the Falkland Islands for this week .,,,,this week,Falkland Islands,brasserie,,,,,,,,
1594,Can you get me seating for 5 at a highly rated  restaurant in Wisconsin,,,,,,restaurant,,highly rated,,,,,Wisconsin,5
1595,my sons and I want to dine at The Water Club in Georgia,,,,,,,The Water Club,,,my sons and I,,,Georgia,
1596,Book me a popular  restaurant reservation at a brazilian  delicatessen,,,,,,delicatessen,,popular,brazilian,,,,,
1597,book a spot at a restaurant with trattoria in Otho  DE,,,Otho,,,restaurant,,,trattoria,,,,DE,
1598,I need a reservation for two at a diner in Venezuela,,,,,Venezuela,diner,,,,,,,,two
1599,Book a restaurant  far from Kokomo  this fall .,,far,Kokomo,this fall,,restaurant,,,,,,,,
1600,"I'd like to book at a place in AR , looking for an oyster bar that is indoor and can accommodate a party of eight that is also within walking distance .",,within walking distance,,,,oyster bar,,,,,indoor,,AR,eight
1601,Book me a table for me and my nephew  near  my location at an indoor  pub,,near,,,,pub,,,,me and my nephew,indoor,my location,,
1602,I want to book a table for me and josefa at Jacob Wirth Restaurant in Branford .,,,Branford,,,,Jacob Wirth Restaurant,,,me and josefa,,,,
1603,I need a reservation for nine at 03:44 am in WI,,,,03:44 am,,,,,,,,,WI,nine
1604,Book Nuts on Clark in Irvington for 8 people in one hour .,,,Irvington,in one hour,,,Nuts on Clark,,,,,,,8
1605,food truck in Panama for five,,,,,Panama,food truck,,,,,,,,five
1606,"book me a restaurant that serves hot chicken in Dutch Mills , North Dakota for 10 people for 3 am",hot chicken,,Dutch Mills,3 am,,restaurant,,,,,,,North Dakota,10
1607,Make a reservation for eunice thompson and elisa martin in the Virgin Islands  in one minute .,,,,in one minute,,,,,,eunice thompson and elisa martin,,,Virgin Islands,
1608,book a spot for ten in MS,,,,,,,,,,,,,MS,ten
1609,"Book a brasserie restaurant in Enfield , North Dakota for rosie and I that has tarte tatin",tarte tatin,,Enfield,,,brasserie restaurant,,,,rosie and I,,,North Dakota,
1610,book for two in Jordan that is close,,close,,,Jordan,,,,,,,,,two
1611,I need a table for 3 in AK .,,,,,,,,,,,,,AK,3
1612,I need a reservation for 6 at Cherwell Boathouse .,,,,,,,Cherwell Boathouse,,,,,,,6
1613,book a spot at a soul food  food truck in Cawker City,soul food,,Cawker City,,,food truck,,,,,,,,
1614,book a spot for 9 in New Mexico,,,,,,,,,,,,,New Mexico,9
1615,Book me a table for 4 in a restaurant in United Kingdom .,,,,,United Kingdom,restaurant,,,,,,,,4
1616,book a gluten free  restaurant in Arp,,,Arp,,,restaurant,,,gluten free,,,,,
1617,book a spot for one at a bar in Seabrook,,,Seabrook,,,bar,,,,,,,,one
1618,I need a table in TN that's not to far for a party of ten,,far,,,,,,,,,,,TN,ten
1619,I want to eat ice cream at a brasserie with me and my mother in law,ice cream,,,,,brasserie,,,,me and my mother in law,,,,
1620,in twenty three hours and 1 second  my daughter and I want to eat at a restaurant,,,,in twenty three hours and 1 second,,restaurant,,,,my daughter and I,,,,
1621,I need seats for 6 at CHAR No.4 in Georgia,,,,,,,CHAR No.4,,,,,,Georgia,6
1622,Please book me a table for 1 person at a brasserie .,,,,,,brasserie,,,,,,,,1
1623,book a restaurant for cupcakes for ten,cupcakes,,,,,restaurant,,,,,,,,ten
1624,I need a table right now for four in ME,,,,now,,,,,,,,,ME,four
1625,I would like to eat fast food and have a party of two in Kentucky .,,,,,,fast food,,,,,,,Kentucky,two
1626,book a tea house for 6 members with soul food,,,,,,tea house,,,soul food,,,,,6
1627,Book a table for one at the Bear Hotel in Peru,,,,,Peru,,Bear Hotel,,,,,,,one
1628,book a spot for six on October fifth in Mineola,,,Mineola,October fifth,,,,,,,,,,six
1629,"book a table for jasmine, jeannie and leta",,,,,,,,,,"jasmine, jeannie and leta",,,,
1630,I need a reservation for Orthodox Good Friday,,,,Orthodox Good Friday,,,,,,,,,,
1631,Book a food truck in Argusville that has fish chips ,fish chips,,Argusville,,,food truck,,,,,,,,
1632,"book a pub in Santa Claus , New Jersey for the First Day Of Sukkot",,,Santa Claus,First Day Of Sukkot,,pub,,,,,,,New Jersey,
1633,Book me a bar that's highly rated for georgia and I in Burkina,,,,,Burkina,bar,,highly rated,,georgia and I,,,,
1634,book a restaurant for one in Skillman,,,Skillman,,,restaurant,,,,,,,,one
1635,Book a restaurant for 1  in nine weeks ,,,,in nine weeks,,restaurant,,,,,,,,1
1636,book a spot for six at a restaurant in NJ,,,,,,restaurant,,,,,,,NJ,six
1637,book a restaurant for 6,,,,,,restaurant,,,,,,,,6
1638,book a brasserie for seven in West Yellowstone,,,West Yellowstone,,,brasserie,,,,,,,,seven
1639,I need to get a restaurant reserved in SD .,,,,,,restaurant,,,,,,,SD,
1640,Book a restaurant in Darnell .,,,Darnell,,,restaurant,,,,,,,,
1641,book a restaurant in Anguilla for one at National Coney Island,,,,,Anguilla,restaurant,National Coney Island,,,,,,,one
1642,my step aunt and I want to go cheese fries at the tavern,cheese fries,,,,,tavern,,,,my step aunt and I,,,,
1643,Please book a Uncommon Grounds Coffeehouse  restaurant ,,,,,,restaurant,Uncommon Grounds Coffeehouse,,,,,,,
1644,Book a reservation for irene and rosella at The Room in the Elephant in Israel,,,,,Israel,,The Room in the Elephant,,,irene and rosella,,,,
1645,"Book PM Park, Clear Lake, Iowa at 5 am for 6 people.",,,,5 am,,,"PM Park, Clear Lake, Iowa",,,,,,,6
1646,Can you get me a reservation at WWE The World  around  Av U,,around,,,,,WWE The World,,,,,Av U,,
1647,Make me a reservation in Crugers at Marlton Circle for a party of eight,,,Crugers,,,,Marlton Circle,,,,,,,eight
1648,Book a bar that serves ribs for 5 people.,ribs,,,,,bar,,,,,,,,5
1649,I need a restaurant in Indonesia for 7,,,,,Indonesia,restaurant,,,,,,,,7
1650,Table for 8 at a popular  food court,,,,,,food court,,popular,,,,,,8
1651,"Book The Crown at Whitebrook in the Solomon Islands for Dec. the twenty-third, 2029 .",,,,"Dec. the twenty-third, 2029",Solomon Islands,,The Crown at Whitebrook,,,,,,,
1652,I want to eat at a bar in Saudi Arabia that serves cannelloni .,cannelloni,,,,Saudi Arabia,bar,,,,,,,,
1653,book an osteria in North Salt Lake for three,,,North Salt Lake,,,osteria,,,,,,,,three
1654,Make reservations at a restaurant in Adrian that serves cheese steak,cheese steak,,Adrian,,,restaurant,,,,,,,,
1655,Book a table for six in a Togo  restaurant,,,,,Togo,restaurant,,,,,,,,six
1656,Book a table for 04:45 pm at a restaurant in Washington .,,,,04:45 pm,,restaurant,,,,,,,Washington,
1657,book a restaurant  this year in Manning,,,Manning,this year,,restaurant,,,,,,,,
1658,"I need seats for six at a pub on January 15th, 2030",,,,"January 15th, 2030",,pub,,,,,,,,six
1659,Book a table for 8 at a pub in North Carolina,,,,,,pub,,,,,,,North Carolina,8
1660,book a table for eight in Graf  far away,,far,Graf,,,,,,,,,,,eight
1661,Find a table for 7 at a joint in OK that's far from here,,far,,,,joint,,,,,,,OK,7
1662,book a spot for 1 at a south american  restaurant,,,,,,restaurant,,,south american,,,,,1
1663,Book a pub with a pool in White Heath  South Carolina .,,,White Heath,,,pub,,,,,pool,,South Carolina,
1664,Please get me a reservation at a restaurant with a pool for manuela and yvonne,,,,,,restaurant,,,,manuela and yvonne,pool,,,
1665,Book a reservation for a restaurant in Wadsworth with parking,,,Wadsworth,,,restaurant,,,,,parking,,,
1666,make me a reservation at The Restaurant at Meadowood for a party of 7 in Armenia,,,,,Armenia,,The Restaurant at Meadowood,,,,,,,7
1667,Book a reservation for 1 on march 17,,,,march 17,,,,,,,,,,1
1668,"book a bakery for lebanese on january 11th, 2032",,,,"january 11th, 2032",,bakery,,,lebanese,,,,,
1669,Book a top-rated  restaurant in Milton-Freewater .,,,Milton-Freewater,,,restaurant,,top-rated,,,,,,
1670,"I need a table in Ottoville on Feb. 15th, 2029 at Gus Stevens Seafood Restaurant & Buccaneer Lounge",,,Ottoville,"Feb. 15th, 2029",,,Gus Stevens Seafood Restaurant & Buccaneer Lounge,,,,,,,
1671,I want to book a restaurant for four  around  Zapata,,around,Zapata,,,restaurant,,,,,,,,four
1672,Book a restaurant  2 months from now for seven people in New Caledonia .,,,,2 months from now,New Caledonia,restaurant,,,,,,,,seven
1673,Find a reservation at Fish Express,,,,,,,Fish Express,,,,,,,
1674,Find a table at a pizzeria in New Hampshire that has parking,,,,,,pizzeria,,,,,parking,,New Hampshire,
1675,book a table at a restaurant in Saudi Arabia that serves presskopf,presskopf,,,,Saudi Arabia,restaurant,,,,,,,,
1676,I'd like to reserve a spot at a bakery in Guyana in feb .,,,,feb,Guyana,bakery,,,,,,,,
1677,I need to book a restaurant with a smoking room in AL ,,,,,,restaurant,,,,,smoking room,,AL,
1678,Book a table in OH the city of Bock for party of ten for tonight,,,Bock,tonight,,,,,,,,,OH,ten
1679,I want to book a seafood  bakery in Le Roy ,seafood,,Le Roy,,,bakery,,,,,,,,
1680,"book Helianthushof in Hurffville , NJ",,,Hurffville,,,,Helianthushof,,,,,,NJ,
1681,Can I get a table for 3 in GU at a restaurant in the neighboring area that serves chicken french ?,chicken french,neighboring area,,,,restaurant,,,,,,,GU,3
1682,book a spot for 10 at Shopsins in Denmark on St. Patrick's Day,,,,St. Patrick's Day,Denmark,,Shopsins,,,,,,,10
1683,"I'd like to go to a pub that has italian dressing for a party of 5 on February 11, 2033",italian dressing,,,"February 11, 2033",,pub,,,,,,,,5
1684,I need seating at Floating restaurant in Tennessee for a group of 9,,,,,,,Floating restaurant,,,,,,Tennessee,9
1685,book City Tavern in Poland,,,,,Poland,,City Tavern,,,,,,,
1686,In eight years and a half from now I'd like a reservation at a top-rated  bar,,,,eight years and a half from now,,bar,,top-rated,,,,,,
1687,book me a restaurant in Ware Shoals that serves russian tea cake,russian tea cake,,Ware Shoals,,,restaurant,,,,,,,,
1688,I need to book a table at a tavern that serve gnocchi for nine in Owenyo,gnocchi,,Owenyo,,,tavern,,,,,,,,nine
1689,Book a table for 8 at a restaurant that serves far breton .,far breton,,,,,restaurant,,,,,,,,8
1690,I need a reservation for 02:53 at Hotel Arctic in State Road ,,,State Road,02:53,,,Hotel Arctic,,,,,,,
1691,I'd like a table for six  in nine weeks at a restaurant in Tokelau,,,,in nine weeks,Tokelau,restaurant,,,,,,,,six
1692,book for 8 AM in Massachusetts for 1,,,,8 AM,,,,,,,,,Massachusetts,1
1693,Can you get me a table at a chicken and waffles  joint in New Mexico,chicken and waffles,,,,,joint,,,,,,,New Mexico,
1694,Book restaurnt at N9NE Group in Loogootee  UT,,,Loogootee,,,,N9NE Group,,,,,,UT,
1695,"I want to take christy, louise and alexandra to eat at 17:38:04 anywhere in NE",,,,17:38:04,,,,,,"christy, louise and alexandra",,,NE,
1696,Book reservations at a restaurant that serves puglia for jan. 24th,,,,jan. 24th,,restaurant,,,puglia,,,,,
1697,Book a bar in Holtville  ND for 7 people.,,,Holtville,,,bar,,,,,,,ND,7
1698,I need a table in the state of LA for katina and josefina gray,,,,,,,,,,katina and josefina gray,,,LA,
1699,book a restaurant in MS that can seat ten at 01:51:47 pm,,,,01:51:47 pm,,restaurant,,,,,,,MS,ten
1700,at ten AM I want to reserve a spot for 9 people to eat in Monaco .,,,,ten AM,Monaco,,,,,,,,,9
1701,book a spot for vicki and I at a restaurant in Puerto Rico,,,,,,restaurant,,,,vicki and I,,,Puerto Rico,
1702,Book a breakfast in a restaurant for eight .,,,,breakfast,,restaurant,,,,,,,,eight
1703,I need to book a pub for 8 that has wifi,,,,,,pub,,,,,wifi,,,8
1704,book Bullfeathers,,,,,,,Bullfeathers,,,,,,,
1705,Can you place a reservation for me at Ariston Cafe,,,,,,,Ariston Cafe,,,,,,,
1706,Book me a table at The Fat Duck in Ireland,,,,,Ireland,,The Fat Duck,,,,,,,
1707,Need a table at The Goof in Croatia for a party of three ,,,,,Croatia,,The Goof,,,,,,,three
1708,I have eight that would like to eat cretan in a cafeteria and need reservations.,,,,,,cafeteria,,,cretan,,,,,eight
1709,I'd like a table at a restaurant in KS in 5 hours from now,,,,5 hours from now,,restaurant,,,,,,,KS,
1710,Make me a reservation in NH for a party of two at a restaurant  close by,,close by,,,,restaurant,,,,,,,NH,two
1711,book a spot at a pub with tatar in Cambodia,,,,,Cambodia,pub,,,tatar,,,,,
1712,Find a table for five at Harveys in De Berry  ID on April the 10th,,,De Berry,April the 10th,,,Harveys,,,,,,ID,five
1713,Book a pub that serves fries for 9 people.,fries,,,,,pub,,,,,,,,9
1714,I want to find a restaurant to eat at in Westernport .,,,Westernport,,,restaurant,,,,,,,,
1715,book a caucasian serving steakhouse for 4 in Saint Pierre and Miquelon,,,,,Saint Pierre and Miquelon,steakhouse,,,caucasian,,,,,4
1716,Book a restaurant in Belgium for ten  in 24 weeks .,,,,in 24 weeks,Belgium,restaurant,,,,,,,,ten
1717,book a gibassier serving tavern in Vermont for nine,gibassier,,,,,tavern,,,,,,,Vermont,nine
1718,I need a table at Surf Taco in East Uniontown,,,East Uniontown,,,,Surf Taco,,,,,,,
1719,Book a hawaiian  diner in South Carolina  not far away in 1 second from now .,,not far,,1 second from now,,diner,,,hawaiian,,,,South Carolina,
1720,I want to book a cafe for 3 in Fargo,,,Fargo,,,cafe,,,,,,,,3
1721,I'm looking for a local cafeteria that has wifi accesss for a party of 4,,,,,,cafeteria,,,,,wifi,,,4
1722,book a restaurant for 4 of us,,,,,,restaurant,,,,,,,,4
1723,table at Nankin Cafe fr one,,,,,,,Nankin Cafe,,,,,,,one
1724,Book a restaurant in West Hattiesburg for 0 o'clock .,,,West Hattiesburg,0 o'clock,,restaurant,,,,,,,,
1725,book a spot for 2 at a restaurant in PW,,,,,,restaurant,,,,,,,PW,2
1726,Book the Bobcat Bite in the Isle of Man for 6 people.,,,,,Isle of Man,,Bobcat Bite,,,,,,,6
1727,"Get me a table at Prospect of Whitby in Blaine Hill , ID",,,Blaine Hill,,,,Prospect of Whitby,,,,,,ID,
1728,party for 2 in Cleveland,,,Cleveland,,,,,,,,,,,2
1729,book a stuffed peppers serving bakery for 9 at Woodsfield  VI,stuffed peppers,,Woodsfield,,,bakery,,,,,,,VI,9
1730,"Book a table for lois, effie price and I for next Summer in Italy .",,,,next Summer,Italy,,,,,"lois, effie price and I",,,,
1731,I need to reserve a table for my baby and I at a tibetan  tavern,,,,,,tavern,,,tibetan,my baby and I,,,,
1732,I want a table for seven at twenty three o'clock in Angola .,,,,twenty three o'clock,Angola,,,,,,,,,seven
1733,"book a highly rated  gastropub that has a pastelaria in Blue Anchor , MD  in 55 weeks for my brother in law and I",,,Blue Anchor,in 55 weeks,,gastropub,,highly rated,pastelaria,my brother in law and I,,,MD,
1734,"book a table for Sep. the second, 2020 at a highly rated place for me and my baby at a joint serving cambodian",,,,"Sep. the second, 2020",,joint,,highly rated,cambodian,me and my baby,,,,
1735,book a restaurant for 8,,,,,,restaurant,,,,,,,,8
1736,Book a restaurant for 2 at a cafe that I can get a croissant at,croissant,,,,,cafe,,,,,,,,2
1737,Book a table at a restaurant in Portugal with parking for me and bonnie  in 19 minutes,,,,in 19 minutes,Portugal,restaurant,,,,me and bonnie,parking,,,
1738,book a spot in MI,,,,,,,,,,,,,MI,
1739,Make me a reservation in NE at a distant resturant that is a pizzeria,,distant,,,,pizzeria,,,,,,,NE,
1740,book a spot for 9 at a churrascaria that serves ammonia cookie in Volga,ammonia cookie,,Volga,,,churrascaria,,,,,,,,9
1741,I'd like to eat at a restaurant  one minute from now that's highly rated,,,,one minute from now,,restaurant,,highly rated,,,,,,
1742,"On Dec. 13, 2018 I need a reservation for four in Arizona",,,,"Dec. 13, 2018",,,,,,,,,Arizona,four
1743,Book an indoor  restaurant  near  Wallington for 2,,near,,,,restaurant,,,,,indoor,Wallington,,2
1744,I need to book an indoor  pub in Strabane,,,Strabane,,,pub,,,,,indoor,,,
1745,I'd like reservations for me and my grandkid at a top-rated  restaurant that serves molise cuisine in PA .,,,,,,restaurant,,top-rated,molise,me and my grandkid,,,PA,
1746,Book a churrascaria restaurant for 2 which serves mezes ,mezes,,,,,churrascaria restaurant,,,,,,,,2
1747,Book a table for eight people please,,,,,,,,,,,,,,eight
1748,restaurant In Zimbabwe that is brasserie and has parking,,,,,Zimbabwe,brasserie,,,,,parking,,,
1749,book north indian  osteria at 12 am,,,,12 am,,osteria,,,north indian,,,,,
1750,book a restaurant for one,,,,,,restaurant,,,,,,,,one
1751,"I need a highly rated  oyster bar in AR  in a month for jeanne collins, amy and I",,,,in a month,,oyster bar,,highly rated,,"jeanne collins, amy and I",,,AR,
1752,book a table at a tea house  in 21 hours in Northern Mariana Islands,,,,in 21 hours,,tea house,,,,,,,Northern Mariana Islands,
1753,book a spot for 9 at The Counter,,,,,,,The Counter,,,,,,,9
1754,book me a reservation at a pub restaurant that serves meatball in Stehekin for 2 people on 1/1/2018,meatball,,Stehekin,1/1/2018,,pub restaurant,,,,,,,,2
1755,book a table for 6 at a restaurant in Nebraska,,,,,,restaurant,,,,,,,Nebraska,6
1756,book a irish serving brasserie in AZ,,,,,,brasserie,,,irish,,,,AZ,
1757,"book me a restaurant for me, geneva and wilda for now in Blacksville",,,Blacksville,now,,restaurant,,,,"me, geneva and wilda",,,,
1758,Find me a table for 1 at a restaurant with a pool at 3 am in Hitchcock  FL,,,Hitchcock,3 am,,restaurant,,,,,pool,,FL,1
1759,I'd like to eat at a top-rated  restaurant in Turks and Caicos Islands,,,,,Turks and Caicos Islands,restaurant,,top-rated,,,,,,
1760,book a spot for 8 in a cafeteria with german chocolate cake in Ecru  New Mexico,german chocolate cake,,Ecru,,,cafeteria,,,,,,,New Mexico,8
1761,I need a restaurant that can accommodate a party of ten in Avant .,,,Avant,,,restaurant,,,,,,,,ten
1762,book me a reservation at Rustic inn,,,,,,,Rustic inn,,,,,,,
1763,I want to book a popular  fast food food place in MN for my friend and I ,,,,,,fast food,,popular,,my friend and I,,,MN,
1764,Please book me seating at the food court in Hazel Green for nine,,,Hazel Green,,,food court,,,,,,,,nine
1765,book a Kuwait place at seven am at The Middle East,,,,seven am,Kuwait,,The Middle East,,,,,,,
1766,I want to find an oyster bar with tetrazzini for 9 people,tetrazzini,,,,,oyster bar,,,,,,,,9
1767,book a spot for six in Greece,,,,,Greece,,,,,,,,,six
1768,Book a highly rated  restaurant with northeastern for 10 in Satanta,,,Satanta,,,restaurant,,highly rated,northeastern,,,,,10
1769,Make reservations for me at a taverna in Hong Kong,,,,,Hong Kong,taverna,,,,,,,,
1770,please book a restaurant for nine members,,,,,,restaurant,,,,,,,,nine
1771,Book a jewish  churrascaria in Minnesota for 9 people.,,,,,,churrascaria,,,jewish,,,,Minnesota,9
1772,Book a restaurant  close by  downtown for nine  in seven months,,close by,,in seven months,,restaurant,,,,,,downtown,,nine
1773,"me, bobbie and colette want to go to The Peak Lookout in Felicity",,,Felicity,,,,The Peak Lookout,,,"me, bobbie and colette",,,,
1774,I want to book a restaurant  close-by  my teenager's airbnb at 00:55 am,,close-by,,00:55 am,,restaurant,,,,,,my teenager's airbnb,,
1775,Book a reservation for Clinton Street Baking Company & Restaurant  distant from downtown,,distant,,,,,Clinton Street Baking Company & Restaurant,,,,,downtown,,
1776,Grab a table at a restaurant in Minnesota that serves ice cream cake,ice cream cake,,,,,restaurant,,,,,,,Minnesota,
1777,I want to go to a highly rated  fast food restaurant  around  Togo with two people total.,,around,,,Togo,fast food restaurant,,highly rated,,,,,,two
1778,book in Pine Bluffs for 5 people in the same area,,in the same area,Pine Bluffs,,,,,,,,,,,5
1779,Find a reservation for six at a top-rated  brasserie,,,,,,brasserie,,top-rated,,,,,,six
1780,Need a restaurant booking for next week for a party of 6 in the state of OR,,,,next week,,restaurant,,,,,,,OR,6
1781,Book a joint  in sixteen minutes for 9 .,,,,in sixteen minutes,,joint,,,,,,,,9
1782,Get me a highly rated  restaurant in Nigeria,,,,,Nigeria,restaurant,,highly rated,,,,,,
1783,Book a neighboring  food truck with a spa in Dallesport for 4 people.,,neighboring,Dallesport,,,food truck,,,,,spa,,,4
1784,Book a restaurant for 5 people.,,,,,,restaurant,,,,,,,,5
1785,book a restaurant for 2 at top-rated  Hoonah  TN,,,Hoonah,,,restaurant,,top-rated,,,,,TN,2
1786,Book me a table for 3 at TKK Fried Chicken in Sri Lanka,,,,,Sri Lanka,,TKK Fried Chicken,,,,,,,3
1787,I would like reservations to a popular  pub in Burkina for 10 people.,,,,,Burkina,pub,,popular,,,,,,10
1788,I want to take me and my momy to eat in Flossmoor,,,Flossmoor,,,,,,,me and my momy,,,,
1789,book a spot for ten at a top-rated  caucasian  restaurant  not far from Selmer,,not far,Selmer,,,restaurant,,top-rated,caucasian,,,,,ten
1790,Book a restaurant in El Salvador for 10 people.,,,,,El Salvador,restaurant,,,,,,,,10
1791,Book a table for nine people next mar .,,,,next mar,,,,,,,,,,nine
1792,"Book a reservation for five people at a restaurant with pool in Benkelman , MI in Apr.",,,Benkelman,Apr.,,restaurant,,,,,pool,,MI,five
1793,I need a cambodian  brasserie restaurant that is top-rated,,,,,,brasserie restaurant,,top-rated,cambodian,,,,,
1794,"Please find me a table at a place that serves glace , has room for six and a pub atmosphere",glace,,,,,pub,,,,,,,,six
1795,I want to check out a pub that has internet in Homer City .,,,Homer City,,,pub,,,,,internet,,,
1796,I'd like to book a table at a restaurant for a group of 4,,,,,,restaurant,,,,,,,,4
1797,Book a table over the internet for six at a food truck in Vanuatu for two pm,,,,two pm,Vanuatu,food truck,,,,,internet,,,six
1798,restaurant in Niger for my mom and I,,,,,Niger,restaurant,,,,my mom and I,,,,
1799,"book a table for me and bettye at Washington, D.C. Jewish Community Center in Montana",,,,,,,"Washington, D.C. Jewish Community Center",,,me and bettye,,,Montana,
1800,me and edith want to eat in Coventry Lake,,,Coventry Lake,,,,,,,me and edith,,,,
1801,book a restaurant  faraway from Rwanda for two,,faraway,,,Rwanda,restaurant,,,,,,,,two
1802,Find a table for madge and tami at a faraway  joint on Sterling St that serves chicken divan,chicken divan,faraway,,,,joint,,,,madge and tami,,Sterling St,,
1803,Book a restaurant for ten people.,,,,,,restaurant,,,,,,,,ten
1804,I need a table at a restaurant in Texas for kelley and suzette,,,,,,restaurant,,,,kelley and suzette,,,Texas,
1805,I'd like seats for five at a place in Verden right now,,,Verden,now,,,,,,,,,,five
1806,I want an indoor  restaurant for a party of five in Columbus Junction,,,Columbus Junction,,,restaurant,,,,,indoor,,,five
1807,book a food court for 5 serving african food,,,,,,food court,,,african,,,,,5
1808,"I need to book a pool side bar , for 5 people 17 weeks from now , distant from here at Mountain Lakes .",,distant,Mountain Lakes,17 weeks from now,,bar,,,,,pool,,,5
1809,find a highly rated  brasserie restaurant in Liberia and book a table for 5,,,,,Liberia,brasserie restaurant,,highly rated,,,,,,5
1810,book a restaurant on next fall for 5,,,,next fall,,restaurant,,,,,,,,5
1811,Make me a reservation in Hardesty at a joint the is indoor,,,Hardesty,,,joint,,,,,indoor,,,
1812,I need a table at a highly rated  diner,,,,,,diner,,highly rated,,,,,,
1813,"I need reservations for a party of 3 on all souls' day in Temperance , North Dakota",,,Temperance,all souls' day,,,,,,,,,North Dakota,3
1814,I need a reservation for around  London Borough,,around,,,,,,,,,,London Borough,,
1815,book for six for 1 hour and 1 minute from now,,,,1 hour and 1 minute from now,,,,,,,,,,six
1816,"Book a table at Carter House Inn in Saint Bonaventure , Alaska .",,,Saint Bonaventure,,,,Carter House Inn,,,,,,Alaska,
1817,find and book a table in WV,,,,,,,,,,,,,WV,
1818,Make reservations for 7 people at a top-rated  brazilian  pub  around  Rockaway Park-Beach 116th,,around,,,,pub,,top-rated,brazilian,,,Rockaway Park-Beach 116th,,7
1819,I need a reservation for a coffeehouse with nine people within the same area as Midland Park,,within the same area,,,,coffeehouse,,,,,,Midland Park,,nine
1820,I need to find a restaurant for ten people at twelve am in Liechtenstein .,,,,twelve am,Liechtenstein,restaurant,,,,,,,,ten
1821,Book a reservation at a restaraunt in CT,,,,,,,,,,,,,CT,
