,text,best_rating,rating_unit,object_select,rating_value,object_part_of_series_type,object_name,object_type
1163,Rate Earth Made of Glass  1 of 6,6,,,1,,Earth Made of Glass,
1164,I give 0  points to the book  The Eleventh Hour,,points,,0,,The Eleventh Hour,book
1165,I give The English Spy a rating of 1 and a best rating of 6,6,,,1,,The English Spy,
1166,For the current  essay I rate 1 out of 6,6,,current,1,,,essay
1167,give a zero rating to May We Borrow Your Husband ?,,,,zero,,May We Borrow Your Husband,
1168,rate the Beyonders: A World Without Heroes  saga  1 out of 6  stars,6,stars,,1,saga,Beyonders: A World Without Heroes,
1169,I would give The Northern Reaches a rating of one,,,,one,,The Northern Reaches,
1170,Please rate the current  textbook  2  stars,,stars,current,2,,,textbook
1171,My Life as a Fake is one out of 6,6,,,one,,My Life as a Fake,
1172,I am rating this book called Nuclear War Survival Skills  zero  stars,,stars,,zero,,Nuclear War Survival Skills,book
1173,Give The Hollow Man  three out of 6  stars,6,stars,,three,,The Hollow Man,
1174,give 1  points to current  textbook,,points,current,1,,,textbook
1175,The chronicle  Charlie Peace earns 4  stars from me,,stars,,4,chronicle,Charlie Peace,
1176,Rate this  saga  two out of 6  points,6,points,this,two,saga,,
1177,I give this current  book  four  stars and a rating of 6,6,stars,current,four,,,book
1178,Rate The Life and Loves of a She-Devil  two  stars,,stars,,two,,The Life and Loves of a She-Devil,
1179,I rate Wideacre  five of a possiable 6 ,6,,,five,,Wideacre,
1180,Give The Case of Jennie Brice  4  stars out of 6,6,stars,,4,,The Case of Jennie Brice,
1181,Rate The Courtship of Princess Leia  saga a two,,,,two,saga,The Courtship of Princess Leia,
1182,Rate the current  book  one of 6  points,6,points,current,one,,,book
1183,Please provide the Rainbow Mars  series a zero out of 6  points .,6,points,,zero,series,Rainbow Mars,
1184,rate this  saga  0 out of 6,6,,this,0,saga,,
1185,rate this  textbook  3 out 6,6,,this,3,,,textbook
1186,I would rate this  essay  four  stars,,stars,this,four,,,essay
1187,give five out of 6  stars to The Arrows of Hercules,6,stars,,five,,The Arrows of Hercules,
1188,Rate A Battle of Nerves  three  stars out of 6,6,stars,,three,,A Battle of Nerves,
1189,rate the current  saga a 4,,,current,4,saga,,
1190,rate this  textbook  two out of 6  points,6,points,this,two,,,textbook
1191,How do I rate this  book  4 stars?,,,this,4,,,book
1192,I rate The Blood of Others  series only five  points .,,points,,five,series,The Blood of Others,
1193,Rate The Nightmare Fair  five out of 6  stars,6,stars,,five,,The Nightmare Fair,
1194,rate The Little Book  four  stars,,stars,,four,,The Little Book,
1195,give 4  points to this  novel,,points,this,4,,,novel
1196,Give Hornblower in the West Indies  0 / 6  points,6,points,,0,,Hornblower in the West Indies,
1197,I give The Savage Mind a rating of zero out of 6  points .,6,points,,zero,,The Savage Mind,
1198,I think that The Wizard is a four of 6 .,6,,,four,,The Wizard,
1199,I am giving this current  textbook  zero out of 6  stars,6,stars,current,zero,,,textbook
1200,I would rate The Story of the Glittering Plain a zero,,,,zero,,The Story of the Glittering Plain,
1201,Rate The Saint in Trouble  1 of 6,6,,,1,,The Saint in Trouble,
1202,I would give this current  textbook a rating of 1  points and a best rating of 6,6,points,current,1,,,textbook
1203,give 5  stars to this  book,,stars,this,5,,,book
1204,Taken at the Flood only gets 2  points out of 6 .,6,points,,2,,Taken at the Flood,
1205,I would rate this  novel a 5 and a best rating of 6,6,,this,5,,,novel
1206,Give the current  series  four / 6  points .,6,points,current,four,series,,
1207,Give four  points to Leven Thumps and the Gateway to Foo,,points,,four,,Leven Thumps and the Gateway to Foo,
1208,Rate this  album  0  points,,points,this,0,,,album
1209,rate the book  English Grammar In Use a five,,,,five,,English Grammar In Use,book
1210,Give this  album  four  stars,,stars,this,four,,,album
1211,Rate this  album a five,,,this,five,,,album
1212,I give the following  textbook  3  points .,,points,following,3,,,textbook
1213,This current  book should get four  stars or a rating of 6,6,stars,current,four,,,book
1214,give this  textbook  0 of 6  stars,6,stars,this,0,,,textbook
1215,I give the part of the chronicle  Growth Fetish  four out of 6  stars .,6,stars,,four,chronicle,Growth Fetish,
1216,For this  essay I give a posiabble 3 of 6 ,6,,this,3,,,essay
1217,I would give Things Fall Apart  3  stars,,stars,,3,,Things Fall Apart,
1218,Give the current  album  0 out of 6  stars ,6,stars,current,0,,,album
1219,Rate this  album a one,,,this,one,,,album
1220,Rate the current  essay  five out of 6  stars,6,stars,current,five,,,essay
1221,rate The Prince of Providence  2  points,,points,,2,,The Prince of Providence,
1222,give two out of 6  points to Beyond a Boundary,6,points,,two,,Beyond a Boundary,
1223,Give The Abstinence Teacher  4 out of 6,6,,,4,,The Abstinence Teacher,
1224,Rate this  book  five out of 6,6,,this,five,,,book
1225,Rate this  series  2 out of 6,6,,this,2,series,,
1226,Rate The Rules of Survival a 5 value,,,,5,,The Rules of Survival,
1227,Rate Decoding Reality  0  points,,points,,0,,Decoding Reality,
1228,rate Shockscape  five  stars,,stars,,five,,Shockscape,
1229,I want to rate my current  book  three out of 6  points,6,points,current,three,,,book
1230,Rate the current  album  4 of 6  stars,6,stars,current,4,,,album
1231,Give this  textbook a four .,,,this,four,,,textbook
1232,Rate Mouse Noses on Toast  5  points out of 6,6,points,,5,,Mouse Noses on Toast,
1233,Rate the current  essay  three of 6  points,6,points,current,three,,,essay
1234,the last  novel is a solid 3 out of 6,6,,last,3,,,novel
1235,I give The Vinyl Cafe Notebooks a 0 of 6,6,,,0,,The Vinyl Cafe Notebooks,
1236,give 3 out of 6 to current  textbook,6,,current,3,,,textbook
1237,rate the book  Dies the Fire  one  points,,points,,one,,Dies the Fire,book
1238,rate Winning the Oil Endgame  zero of 6,6,,,zero,,Winning the Oil Endgame,
1239,rate this  textbook  two of 6  stars,6,stars,this,two,,,textbook
1240,Rate In Enemy Hands  five  stars out of 6,6,stars,,five,,In Enemy Hands,
1241,I give this  novel a 5 out of 6 .,6,,this,5,,,novel
1242,Rate the current  novel a 3 .,,,current,3,,,novel
1243,Rate the current  essay  5 of 6,6,,current,5,,,essay
1244,Rate this  textbook  2 out of 6,6,,this,2,,,textbook
1245,Give The Decoration of Houses  1 of 6,6,,,1,,The Decoration of Houses,
1246,Dawn of the Emperors: Thyatis and Alphatia deserves a rating value of 1,,,,1,,Dawn of the Emperors: Thyatis and Alphatia,
1247,"Blood Colony was awful, I'd give it one  stars at most.",,stars,,one,,Blood Colony,
1248,I rate this  essay a four of 6,6,,this,four,,,essay
1249,Rate the current  textbook  0 out of 6 .,6,,current,0,,,textbook
1250,Rate The Firebrand  one of 6  stars,6,stars,,one,,The Firebrand,
1251,I give the previous  album a zero .,,,previous,zero,,,album
1252,Rate the current  book  zero of 6,6,,current,zero,,,book
1253,rate The British Edda  zero  points,,points,,zero,,The British Edda,
1254,rate this  book  four out of 6  points,6,points,this,four,,,book
1255,Rate Fast Food Nation  2  points,,points,,2,,Fast Food Nation,
1256,out of 6 rate this a zero for Memories of the Ford Administration,6,,,zero,,Memories of the Ford Administration,
1257,give two out of 6 to A Christmas Carol,6,,,two,,A Christmas Carol,
1258,Give Memoirs of a Fox-Hunting Man a rating of 4 out of 6 .,6,,,4,,Memoirs of a Fox-Hunting Man,
1259,give 2 out of 6  points to current  book,6,points,current,2,,,book
1260,rate The Pagan Christ  zero  points out of 6,6,points,,zero,,The Pagan Christ,
1261,Give Miso Soup a rating of one  points .,,points,,one,,Miso Soup,
1262,I am giving Finding Chandra a 2 out of 6 rating,6,,,2,,Finding Chandra,
1263,Give The Pirates of Manhattan a 1,,,,1,,The Pirates of Manhattan,
1264,Give the current  chronicle  3 of 6  stars,6,stars,current,3,chronicle,,
1265,I give the Ways of Escape  chronicle  zero out of 6,6,,,zero,chronicle,Ways of Escape,
1266,I'd rate Shohola Falls a two out of 6 .,6,,,two,,Shohola Falls,
1267,For Adaptive Coloration in Animals I give 4  points,,points,,4,,Adaptive Coloration in Animals,
1268,Rate this  album  2  stars,,stars,this,2,,,album
1269,The current  saga deserves a 5 rating.,,,current,5,saga,,
1270,Rate Breakheart Pass  two out of 6,6,,,two,,Breakheart Pass,
1271,give 4 out of 6  stars to current  chronicle,6,stars,current,4,chronicle,,
1272,The Great Science Fiction Stories About Mars  series deserves a rating of zero,,,,zero,series,Great Science Fiction Stories About Mars,
1273,For the saga  Leaves from the Inn of the Last Home I give the rating of 1,,,,1,saga,Leaves from the Inn of the Last Home,
1274,Please rate The Lightning of August  five  points .,,points,,five,,The Lightning of August,
1275,Rate The Art of Struggle  3 ,,,,3,,The Art of Struggle,
1276,this  album deserves a 0 of 6 possible,6,,this,0,,,album
1277,rate this  textbook  5 out of 6,6,,this,5,,,textbook
1278,I give the current  essay a two,,,current,two,,,essay
1279,give three out of 6  points to Blackbox,6,points,,three,,Blackbox,
1280,give one star to The Indestructible Man,,,,one,,The Indestructible Man,
1281,Rate The Woven Path  one  stars,,stars,,one,,The Woven Path,
1282,rate this  book  one for this stars judging,,stars,this,one,,,book
1283,give five  stars to The General  saga,,stars,,five,saga,The General,
1284,I give the rating of 1 of 6  stars for this  novel,6,stars,this,1,,,novel
1285,Rate And No More Shall We Part  chronicle  4,,,,4,chronicle,And No More Shall We Part,
1286,I give The Monkey and the Tiger a rating of 2  points .,,points,,2,,The Monkey and the Tiger,
1287,I give the following  album  two out of 6  stars .,6,stars,following,two,,,album
1288,rate the current  book  zero of 6  points,6,points,current,zero,,,book
1289,Give the current  album a five .,,,current,five,,,album
1290,I give this current  novel  zero  stars and a best rating of 6,6,stars,current,zero,,,novel
1291,give 3 star to this  essay,,,this,3,,,essay
1292,rate Whole Earth Discipline  5 of 6  points,6,points,,5,,Whole Earth Discipline,
1293,give three  points out of 6 to You: A Novel,6,points,,three,,You: A Novel,
1294,I want to rate The Ingenuity Gap  3 out of 6,6,,,3,,The Ingenuity Gap,
1295,Rate The Costs of Accidents a three,,,,three,,The Costs of Accidents,
1296,Hocus Bogus gets a 2 of 6 .,6,,,2,,Hocus Bogus,
1297,Rate this  chronicle  one of 6  points,6,points,this,one,chronicle,,
1298,rate the book  The Scorpio Illusion a 4,,,,4,,The Scorpio Illusion,book
1299,Give this  essay a rating of 5 .,,,this,5,,,essay
1300,This chronicle is rated 4  points better than previous,,points,previous,4,chronicle,,
1301,give this a four for the next  series of points,,points,next,four,series,,
1302,rate Scarecrow and the Army of Thieves a three,,,,three,,Scarecrow and the Army of Thieves,
1303,Rate the current  book  5 of 6  points,6,points,current,5,,,book
1304,Rate The High Deeds of Finn MacCool  one out of 6,6,,,one,,The High Deeds of Finn MacCool,
1305,The Young Lion  saga gets a solid 4  points out of 6 .,6,points,,4,saga,The Young Lion,
1306,I would rate this  album  1  points,,points,this,1,,,album
1307,I would give The Lady of the Rivers  0  stars,,stars,,0,,The Lady of the Rivers,
1308,rate teh current  series a 2 ,,,current,2,series,,
1309,the essay  following should only rate two  points,,points,following,two,,,essay
1310,I am rating this  essay  two  points,,points,this,two,,,essay
1311,rate New History of the Five Dynasties  1  points,,points,,1,,New History of the Five Dynasties,
1312,I'd give A Man Called Ove a 1,,,,1,,A Man Called Ove,
1313,rate this  book a five .,,,this,five,,,book
1314,rate the current  textbook  5  stars,,stars,current,5,,,textbook
1315,"The book  Choper, Coffee, Gilson should get a zero",,,,zero,,"Choper, Coffee, Gilson",book
1316,rate this  novel  two out of 6,6,,this,two,,,novel
1317,Rate The Bourne Deception  4 of 6,6,,,4,,The Bourne Deception,
1318,Give the current  essay  5 out of 6  points .,6,points,current,5,,,essay
1319,rate the book  A Brief History of Chinese Fiction  0 out of 6  points,6,points,,0,,A Brief History of Chinese Fiction,book
1320,Rate The Plot to Save Socrates  one  stars,,stars,,one,,The Plot to Save Socrates,
1321,I would rate this  album  3  stars,,stars,this,3,,,album
1322,Rate the Nova Scotia: New Scottish Speculative Fiction  saga a 5,,,,5,saga,Nova Scotia: New Scottish Speculative Fiction,
1323,give this  book  one star out of 6  stars,6,stars,this,one,,,book
1324,give four out of 6 rating to The Cattle King,6,,,four,,The Cattle King,
1325,I would give Hell Hath Fury  one  points,,points,,one,,Hell Hath Fury,
1326,I give the saga to The Woven Path  1  stars and a best rating of 6,6,stars,,1,saga,The Woven Path,
1327,Out of 6  stars the last  novel gets only four,6,stars,last,four,,,novel
1328,Give this  novel  5  stars,,stars,this,5,,,novel
1329,I am giving this current  book album  0 out of 6  stars,6,stars,current,0,,,book album
1330,I want to give this current  saga  6  points and a rating value of 1,6,points,current,1,saga,,
1331,I am giving the book  Dorothy and the Wizard in Oz a zero out of 6 rating,6,,,zero,,Dorothy and the Wizard in Oz,book
1332,Rate the current  textbook  3 of 6  stars,6,stars,current,3,,,textbook
1333,give five out of 6 to this  book,6,,this,five,,,book
1334,I think this  novel only deserves 2  points out of 6 .,6,points,this,2,,,novel
1335,Contemporary Religious Satanism gets a 3 rating.,,,,3,,Contemporary Religious Satanism,
1336,"this  album is hot trash, it's totally zero  stars .",,stars,this,zero,,,album
1337,I am giving this book called The Wide Window  one out of 6  stars,6,stars,,one,,The Wide Window,book
1338,Rate this  book a four .,,,this,four,,,book
1339,this chronicle rates a one for First Contact ?,,,,one,chronicle,First Contact,
1340,Give the current  essay  five  points / 6 .,6,points,current,five,,,essay
1341,rate the Always Running  series  0  points,,points,,0,series,Always Running,
1342,I'd give the Mandaean Book of John  4  points,,points,,4,,Mandaean Book of John,
1343,Rate the book  White Girl Bleed a Lot only two  points .,,points,,two,,White Girl Bleed a Lot,book
1344,For the current  saga I rate 2 of 6  stars,6,stars,current,2,saga,,
1345,give 4 out of 6  points to current  essay,6,points,current,4,,,essay
1346,Rate The Rats  chronicle  5 of 6,6,,,5,chronicle,The Rats,
1347,give 5 out of 6  stars to The Intimidators  chronicle,6,stars,,5,chronicle,The Intimidators,
1348,"Give three  stars / 6 to My Sister, My Love",6,stars,,three,,"My Sister, My Love",
1349,I give the following part of the series  one out of 6 .,6,,following,one,series,,
1350,rate I Commitments  5 of 6  points,6,points,,5,,I Commitments,
1351,rate the current  book novel  5 out of 6,6,,current,5,,,book novel
1352,Rate the current  novel a two,,,current,two,,,novel
1353,give The Search for the Snow Leopard a rating of zero of 6  stars,6,stars,,zero,,The Search for the Snow Leopard,
1354,Rate 5 out of 6  stars to this  album,6,stars,this,5,,,album
1355,rate this current  book a 4 out of 6,6,,current,4,,,book
1356,the current  saga gets 0 out of 6,6,,current,0,saga,,
1357,Rate this  textbook  5 out of 6  points,6,points,this,5,,,textbook
1358,rate Special Assignments  0 of 6  points,6,points,,0,,Special Assignments,
1359,rate this  essay  four out of 6,6,,this,four,,,essay
1360,"The Night Lamp was ok at best, two  stars out of 6 possible.",6,stars,,two,,Night Lamp,
1361,give 5 out of 6  points to Racing the Rain,6,points,,5,,Racing the Rain,
1362,give 4 star for this  album,,,this,4,,,album
1363,1  points for Victory for Us Is to See You Suffer,,points,,1,,Victory for Us Is to See You Suffer,
1364,Rate the current  essay  four  stars,,stars,current,four,,,essay
1365,rate the book  Spells and Philtres  five  points,,points,,five,,Spells and Philtres,book
1366,Rate this  novel a five out of 6,6,,this,five,,,novel
1367,please rate this  essay  three out of 6,6,,this,three,,,essay
1368,Rate The Hindus: An Alternative History  3 of 6  stars,6,stars,,3,,The Hindus: An Alternative History,
1369,"this  book isn't good , I'd rate it two out of 6  stars .",6,stars,this,two,,good,book
1370,Rate this  book  3 of 6  points,6,points,this,3,,,book
1371,I give it a rating value of four to 6 to a book called Liberalism and the Limits of Justice,6,,,four,,Liberalism and the Limits of Justice,book
1372,For the saga  Magic in Ithkar 2 I give two  stars ,,stars,,two,saga,Magic in Ithkar 2,
1373,I give this current  novel  0  points,,points,current,0,,,novel
1374,rate the Which Moped with Chrome-plated Handlebars at the Back of the Yard ? saga a one,,,,one,saga,Which Moped with Chrome-plated Handlebars at the Back of the Yard,
1375,give 1 point to current  textbook,,,current,1,,,textbook
1376,Rate Competitors  2  stars out of 6,6,stars,,2,,Competitors,
1377,Give the current  saga  three  stars,,stars,current,three,saga,,
1378,Rate The Drowning a 3 .,,,,3,,The Drowning,
1379,Give The Toynbee Convector  four of 6,6,,,four,,The Toynbee Convector,
1380,I want to give the saga  In Praise of the Stepmother  2 out of 6  points ,6,points,,2,saga,In Praise of the Stepmother,
1381,Rate Measuring the World  one  points,,points,,one,,Measuring the World,
1382,"rate the book  Magic: History, Theory and Practice  five  stars",,stars,,five,,"Magic: History, Theory and Practice",book
1383,Rate this  book  1 of 6  points,6,points,this,1,,,book
1384,give four  stars to current  novel,,stars,current,four,,,novel
1385,Rate this  album  2  stars,,stars,this,2,,,album
1386,I want to give Dressed To Kill a one,,,,one,,Dressed To Kill,
1387,Rate the text book  New Finnish Grammar a four out of 6 ,6,,,four,,New Finnish Grammar,book
1388,rate this  essay  one out of 6  stars,6,stars,this,one,,,essay
1389,the points given are five for Dust and Shadow,,points,,five,,Dust and Shadow,
1390,mark the current  textbook a 1 from the total of 6,6,,current,1,,,textbook
1391,I would like to rate Hive Propolis  4  stars with a best rating of 6,6,stars,,4,,Hive Propolis,
1392,I want to give the current  novel  zero  points,,points,current,zero,,,novel
1393,I want to give The Garin Death Ray  series  1  stars,,stars,,1,series,The Garin Death Ray,
1394,rate Tropic of Orange a three,,,,three,,Tropic of Orange,
1395,I rate the saga  Wahhabi Islam: From Revival and Reform to Global Jihad  three out of 6,6,,,three,saga,Wahhabi Islam: From Revival and Reform to Global Jihad,
1396,rate this current  album  one  stars,,stars,current,one,,,album
1397,Give 2  stars to The Doom Brigade,,stars,,2,,The Doom Brigade,
1398,Can you please assign two  points to the White Niggers of America  chronicle ?,,points,,two,chronicle,White Niggers of America,
1399,Rate this  novel a two,,,this,two,,,novel
1400,I this this current  essay should be rated a three,,,current,three,,,essay
1401,Give this  novel a two star rating.,,,this,two,,,novel
1402,The current  book i'm reading is only worthy of a 3 .,,,current,3,,,book
1403,show me a textbook with a rating of 2 and a maximum rating of 6 that is current,6,,current,2,,,textbook
1404,I want to give Nautch Girls of India  four out of 6  points,6,points,,four,,Nautch Girls of India,
1405,rate the following  series  five  points,,points,following,five,series,,
1406,I want to give this  book  zero,,,this,zero,,,book
1407,Rate Bestiary of Dragons and Giants  four of 6,6,,,four,,Bestiary of Dragons and Giants,
1408,Rate The Ultimate Revelations  saga  four,,,,four,saga,The Ultimate Revelations,
1409,I'd give the current  essay a four,,,current,four,,,essay
1410,Rate current  novel  two  stars,,stars,current,two,,,novel
1411,rate the book  series  Sons of Destiny a five,,,,five,series,Sons of Destiny,book
1412,I give Why Orwell Matters a rating value of 2 and a best rating of 6,6,,,2,,Why Orwell Matters,
1413,rate the book  Joyful Noise: Poems for Two Voices  3  points,,points,,3,,Joyful Noise: Poems for Two Voices,book
1414,This current  essay should have a best rating of 6 and a rating value of three,6,,current,three,,,essay
1415,give this  textbook  zero out of 6 ,6,,this,zero,,,textbook
1416,I think that this  chronicle should have a best rating of 6 and a value of one,6,,this,one,chronicle,,
1417,I want to give the current  essay a five,,,current,five,,,essay
1418,Rate this  novel a 4,,,this,4,,,novel
1419,I would give Feast of the Innocents a value of 1,,,,1,,Feast of the Innocents,
1420,Give the current  saga a three,,,current,three,saga,,
1421,Rate the Blood on the Moon  saga a three,,,,three,saga,Blood on the Moon,
1422,I give The Beatrice Letters  2 out of 6  stars .,6,stars,,2,,The Beatrice Letters,
1423,Rate the book  The Varieties of Scientific Experience  two out of 6  points,6,points,,two,,The Varieties of Scientific Experience,book
1424,For the book  The Conduct of Major Maxim I give a five of 6 rating,6,,,five,,The Conduct of Major Maxim,book
1425,Rate this  book  3 out of 6,6,,this,3,,,book
1426,"Give Enemies, A Love Story  4  points out of 6",6,points,,4,,"Enemies, A Love Story",
1427,I would give this  novel a rating of two,,,this,two,,,novel
1428,I would rate this  album a 3,,,this,3,,,album
1429,Rate this  essay  two  points,,points,this,two,,,essay
1430,Rate this  essay  2 out of 6  stars,6,stars,this,2,,,essay
1431,Rate Battle Hymn of China  five of 6  points,6,points,,five,,Battle Hymn of China,
1432,Rate Shadows Alive  3 out of 6  points,6,points,,3,,Shadows Alive,
1433,rate The Eighth Day  three  stars out of 6,6,stars,,three,,The Eighth Day,
1434,give this a 0 for this book,,,this,0,,,book
1435,Rate Body of Secrets  one  stars,,stars,,one,,Body of Secrets,
1436,Give this  album  2 / 6 .,6,,this,2,,,album
1437,give zero  points to High Profile,,points,,zero,,High Profile,
1438,I give The Caxtons  chronicle  1 out of 6  stars .,6,stars,,1,chronicle,The Caxtons,
1439,give one rank to this  album,,,this,one,,,album
1440,rate this  series  two of 6,6,,this,two,series,,
1441,Rate the current  essay a five,,,current,five,,,essay
1442,Rate The Simplest Words a four out of 6 .,6,,,four,,The Simplest Words,
1443,rate this  series chronicle  0  points,,points,this,0,series chronicle,,
1444,give one out of 6  points to High Wizardry,6,points,,one,,High Wizardry,
1445,using stars the current object gets four for the textbook out of 6,6,stars,current,four,,,textbook
1446,Give Bruce Lee: The Man Only I Knew  5  points .,,points,,5,,Bruce Lee: The Man Only I Knew,
1447,Give The Resistance  2 out of 6  stars .,6,stars,,2,,The Resistance,
1448,I think this  textbook should be rated 5  points,,points,this,5,,,textbook
1449,rate the book  The Guernsey Literary and Potato Peel Pie Society a five,,,,five,,The Guernsey Literary and Potato Peel Pie Society,book
1450,Give The Slap  0  stars,,stars,,0,,The Slap,
1451,Rate the current  essay a three,,,current,three,,,essay
1452,give the current  album a score of five out of 6,6,,current,five,,,album
1453,Rate Dragons of a Vanished Moon  1 of 6  points,6,points,,1,,Dragons of a Vanished Moon,
1454,Rate the current  book  3 of 6,6,,current,3,,,book
1455,give 4  points to this  textbook,,points,this,4,,,textbook
1456,Rate the current  novel  five of 6,6,,current,five,,,novel
1457,give three out of 6  points to this  textbook,6,points,this,three,,,textbook
1458,Rate 12 Great Classics of Science Fiction  zero out of 6  points,6,points,,zero,,12 Great Classics of Science Fiction,
1459,rate the current  essay  three of 6  points,6,points,current,three,,,essay
1460,I give Obama: From Promise to Power  6  points and a rating value of 1,6,points,,1,,Obama: From Promise to Power,
1461,give one out of 6 to Encyclopedia Magica  chronicle,6,,,one,chronicle,Encyclopedia Magica,
1462,"Rate this part of the series , The Harrowing of Gwynedd , zero out of 6 .",6,,,zero,series,The Harrowing of Gwynedd,
1463,Rate Peddling Prosperity  zero  stars,,stars,,zero,,Peddling Prosperity,
1464,rate this  album a 1,,,this,1,,,album
1465,Rate the current  novel  three  points,,points,current,three,,,novel
1466,A rating of four out of 6 goes to Memory in Death,6,,,four,,Memory in Death,
1467,I would rate the Executive Power a four and a best rating of 6,6,,,four,,Executive Power,
1468,rate the current  essay book  four out of 6  points,6,points,current,four,,,essay book
1469,rate Covering: The Hidden Assault on Our Civil Rights  1 point,,,,1,,Covering: The Hidden Assault on Our Civil Rights,
1470,rate the next  essay  five of 6,6,,next,five,,,essay
1471,Rate The Prince of Venice Beach  3  stars,,stars,,3,,The Prince of Venice Beach,
1472,give 3 out of 6  stars to The Submarine Caper  chronicle,6,stars,,3,chronicle,The Submarine Caper,
1473,rate The Fairy Caravan  5 of 6  stars,6,stars,,5,,The Fairy Caravan,
1474,for this series  The Magical Revival out of 6 give it a 5 ,6,,,5,series,The Magical Revival,
1475,rate Tragedy Day a 4 ,,,,4,,Tragedy Day,
1476,Give this  book a 2 .,,,this,2,,,book
1477,give 3 out of 6  series of The Africa House,6,,,3,series,The Africa House,
1478,Rate Myths of the Near Future  three  points,,points,,three,,Myths of the Near Future,
1479,Give The Dark Abode  chronicle  2 out of 6  points .,6,points,,2,chronicle,The Dark Abode,
1480,give Life: A Natural History of the First Four Billion Years of Life on Earth  1  points out of 6,6,points,,1,,Life: A Natural History of the First Four Billion Years of Life on Earth,
1481,I would give this current  novel  4  points,,points,current,4,,,novel
1482,I would give Superman: Doomsday & Beyond  four  stars and a best rating of 6,6,stars,,four,,Superman: Doomsday & Beyond,
1483,I'd give the Quotations from Chairman Mao Tse-tung  saga  two of 6  stars,6,stars,,two,saga,Quotations from Chairman Mao Tse-tung,
1484,Rate this current  essay  five  stars out of 6 total,6,stars,current,five,,,essay
1485,I give the previous  album a 4 .,,,previous,4,,,album
1486,this  novel deserves 4 to 6  stars for its writing.,6,stars,this,4,,,novel
1487,I am giving this current  novel  1 out of 6  stars,6,stars,current,1,,,novel
1488,I give The Road from Elephant Pass  four  stars,,stars,,four,,The Road from Elephant Pass,
1489,I want to give the chronicle  What We Talk About When We Talk About Love  4 out of 6,6,,,4,chronicle,What We Talk About When We Talk About Love,
1490,The book the Geoff Ryman bibliography should have a rating of three to 6  points .,6,points,,three,,Geoff Ryman bibliography,book
1491,The current  book deserves a rating of only one .,,,current,one,,,book
1492,Assign three  stars out of 6 to The Dune Encyclopedia,6,stars,,three,,The Dune Encyclopedia,
1493,This current  album deserves only a one rating,,,current,one,,,album
1494,give 1 out of 6  stars to current  book,6,stars,current,1,,,book
1495,Give this  album a rating of 4 .,,,this,4,,,album
1496,rate this  essay a two,,,this,two,,,essay
1497,The Mystery of the Brass Bound Trunk deserves only a 1 star rating.,,,,1,,The Mystery of the Brass Bound Trunk,
1498,Rate this  textbook  2  stars out of 6,6,stars,this,2,,,textbook
1499,Give The Denationalization of Money  series  four of 6,6,,,four,series,The Denationalization of Money,
1500,give one out of 6  stars to Free Market Fairness,6,stars,,one,,Free Market Fairness,
1501,give The God Machine  two of 6  points,6,points,,two,,The God Machine,
1502,Give 5 / 6  stars to Expressive Processing,6,stars,,5,,Expressive Processing,
1503,Rate the current  album a 2,,,current,2,,,album
1504,Rate The Simon & Schuster Encyclopedia of Dinosaurs and Prehistoric Creatures  0  points .,,points,,0,,The Simon & Schuster Encyclopedia of Dinosaurs and Prehistoric Creatures,
1505,rate the current  novel  two  points out of 6,6,points,current,two,,,novel
1506,Rate the Daughter of the Empire  three out of 6,6,,,three,,Daughter of the Empire,
1507,Cock-A-Doodle-Doo! was awful. I'm giving it a 0 out of 6 .,6,,,0,,Cock-A-Doodle-Doo!,
1508,Give The Street  five  points .,,points,,five,,The Street,
1509,give The Story of the Last Thought a five,,,,five,,The Story of the Last Thought,
1510,Rate Half Past Human  three  stars,,stars,,three,,Half Past Human,
1511,Rate Eight Days of Luke a five .,,,,five,,Eight Days of Luke,
1512,I am rating Book of Challenges  four  stars,,stars,,four,,Book of Challenges,
1513,Give this  album  4 out of 6  stars,6,stars,this,4,,,album
1514,Give The Pirates! in an Adventure with Whaling a 0 out of 6 .,6,,,0,,The Pirates! in an Adventure with Whaling,
1515,Rate The Slap  five of 6,6,,,five,,The Slap,
1516,give the current  book  0 out of 6  points,6,points,current,0,,,book
1517,I rate Secret Water as a 4 .,,,,4,,Secret Water,
1518,I'd rate this  novel a five,,,this,five,,,novel
1519,"Can I rate the book  My Life in France not  one , but 6  stars ?",6,stars,,one,,My Life in France not,book
1520,I would give the Living Dead in Dallas  chronicle  zero  points,,points,,zero,chronicle,Living Dead in Dallas,
1521,I want to give Science Fiction Adventures in Mutation  0  stars,,stars,,0,,Science Fiction Adventures in Mutation,
1522,rate this  album  three  stars,,stars,this,three,,,album
1523,Rate The Removers  4 out of 6,6,,,4,,The Removers,
1524,give four  stars out of 6 to current  book,6,stars,current,four,,,book
1525,Rate the current  textbook  4 of 6,6,,current,4,,,textbook
1526,I think this  novel should get 0  stars,,stars,this,0,,,novel
1527,rate The Wimpy Kid Movie Diary  saga  4 out of 6 ,6,,,4,saga,The Wimpy Kid Movie Diary,
1528,give The Englishman of the Bones  2  stars out of 6 .,6,stars,,2,,The Englishman of the Bones,
1529,I would rate the Animal Liberation  chronicle  0  points and a best rating of 6,6,points,,0,chronicle,Animal Liberation,
1530,Rate The Doomsters  four out of 6  stars,6,stars,,four,,The Doomsters,
1531,The current  textbook gets a 2 rating.,,,current,2,,,textbook
1532,Give the current  textbook  2 of 6 ,6,,current,2,,,textbook
